danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,ts,tick,tag,playlist,error.status,error.message
0.565,0.636,0.0,-8.198,1.0,0.0638,0.107,9.9e-06,0.447,0.525,170.01,audio_features,76OGwb5RA9h4FxQPT33ekc,spotify:track:76OGwb5RA9h4FxQPT33ekc,https://api.spotify.com/v1/tracks/76OGwb5RA9h4FxQPT33ekc,https://api.spotify.com/v1/audio-analysis/76OGwb5RA9h4FxQPT33ekc,179551.0,4.0,2023-08-23 23:29:56.273282,0,Calm,37i9dQZF1DXcjpPPxCzYRE,,
0.681,0.372,5.0,-8.237,1.0,0.0432,0.64,0.0,0.169,0.476,91.873,audio_features,1mXVgsBdtIVeCLJnSnmtdV,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV,201000.0,4.0,2023-08-23 23:29:56.454426,1,Calm,37i9dQZF1DXcjpPPxCzYRE,,
0.686,0.127,7.0,-14.361,1.0,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,audio_features,5jgFfDIR6FR0gvlA56Nakr,spotify:track:5jgFfDIR6FR0gvlA56Nakr,https://api.spotify.com/v1/tracks/5jgFfDIR6FR0gvlA56Nakr,https://api.spotify.com/v1/audio-analysis/5jgFfDIR6FR0gvlA56Nakr,138387.0,4.0,2023-08-23 23:29:56.646339,2,Calm,37i9dQZF1DXcjpPPxCzYRE,,
0.738,0.482,6.0,-8.917,0.0,0.0402,0.0266,0.621,0.106,0.352,93.457,audio_features,23khhseCLQqVMCIT1WMAns,spotify:track:23khhseCLQqVMCIT1WMAns,https://api.spotify.com/v1/tracks/23khhseCLQqVMCIT1WMAns,https://api.spotify.com/v1/audio-analysis/23khhseCLQqVMCIT1WMAns,285014.0,4.0,2023-08-23 23:29:56.867494,3,Calm,37i9dQZF1DXcjpPPxCzYRE,,
0.668,0.26,7.0,-14.256,1.0,0.0523,0.453,0.0,0.0621,0.368,119.416,audio_features,5b7OgznPJJr1vHNYGyvxau,spotify:track:5b7OgznPJJr1vHNYGyvxau,https://api.spotify.com/v1/tracks/5b7OgznPJJr1vHNYGyvxau,https://api.spotify.com/v1/audio-analysis/5b7OgznPJJr1vHNYGyvxau,147000.0,4.0,2023-08-23 23:29:57.079366,4,Calm,37i9dQZF1DXcjpPPxCzYRE,,
0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,audio_features,2TIlqbIneP0ZY1O0EzYLlc,spotify:track:2TIlqbIneP0ZY1O0EzYLlc,https://api.spotify.com/v1/tracks/2TIlqbIneP0ZY1O0EzYLlc,https://api.spotify.com/v1/audio-analysis/2TIlqbIneP0ZY1O0EzYLlc,182161.0,4.0,2023-08-23 23:29:57.299221,5,Calm,37i9dQZF1DXcjpPPxCzYRE,,
0.838,0.536,1.0,-8.645,0.0,0.0478,0.555,0.000376,0.111,0.107,104.988,audio_features,11BAVEGi1ivJ6JWLqKUNrZ,spotify:track:11BAVEGi1ivJ6JWLqKUNrZ,https://api.spotify.com/v1/tracks/11BAVEGi1ivJ6JWLqKUNrZ,https://api.spotify.com/v1/audio-analysis/11BAVEGi1ivJ6JWLqKUNrZ,195173.0,4.0,2023-08-23 23:29:57.478700,6,Calm,37i9dQZF1DXcjpPPxCzYRE,,
0.805,0.532,4.0,-8.838,0.0,0.18,0.834,9.95e-05,0.32,0.283,105.007,audio_features,2IMlhZ6Sxse3z7ghzRO7qc,spotify:track:2IMlhZ6Sxse3z7ghzRO7qc,https://api.spotify.com/v1/tracks/2IMlhZ6Sxse3z7ghzRO7qc,https://api.spotify.com/v1/audio-analysis/2IMlhZ6Sxse3z7ghzRO7qc,258286.0,4.0,2023-08-23 23:29:57.651252,7,Calm,37i9dQZF1DXcjpPPxCzYRE,,
0.653,0.429,11.0,-10.473,1.0,0.0297,0.0849,0.00371,0.0693,0.627,146.073,audio_features,7H3ojI1BsVy0dEJENqMt1k,spotify:track:7H3ojI1BsVy0dEJENqMt1k,https://api.spotify.com/v1/tracks/7H3ojI1BsVy0dEJENqMt1k,https://api.spotify.com/v1/audio-analysis/7H3ojI1BsVy0dEJENqMt1k,274933.0,4.0,2023-08-23 23:29:57.823070,8,Calm,37i9dQZF1DXcjpPPxCzYRE,,
0.868,0.347,5.0,-9.529,1.0,0.0536,0.308,2e-05,0.11,0.659,110.059,audio_features,4VywXu6umkIQ2OS0m1I79y,spotify:track:4VywXu6umkIQ2OS0m1I79y,https://api.spotify.com/v1/tracks/4VywXu6umkIQ2OS0m1I79y,https://api.spotify.com/v1/audio-analysis/4VywXu6umkIQ2OS0m1I79y,207680.0,4.0,2023-08-23 23:29:58.012122,9,Calm,37i9dQZF1DXcjpPPxCzYRE,,
